Please enter the number of print jobs to run: 1000

 {||}                Original Order            {||} 
 {||} =================== {||} =============== {||} 
 {||}             129     {||}           8     {||} 
 {||}             130     {||}           2     {||} 
 {||}             131     {||}           9     {||} 
 {||}             132     {||}           5     {||} 
 {||}             133     {||}          10     {||} 
 {||}             134     {||}           4     {||} 
 {||}             135     {||}           5     {||} 
 {||}             136     {||}           1     {||} 
 {||}             137     {||}          10     {||} 
 {||}             138     {||}           8     {||} 
 {||}             139     {||}           3     {||} 
 {||}             140     {||}           2     {||} 
 {||}             141     {||}           2     {||} 
 {||}             142     {||}           5     {||} 
 {||}             143     {||}           8     {||} 
 {||}             144     {||}           7     {||} 
 {||}             145     {||}           9     {||} 
 {||}             146     {||}           1     {||} 
 {||}             147     {||}           8     {||} 
 {||}             148     {||}           8     {||} 
 {||}             149     {||}           9     {||} 
 {||}             150     {||}           1     {||} 
 {||}             151     {||}           5     {||} 
 {||}             152     {||}           2     {||} 
 {||}             153     {||}           8     {||} 
 {||}             154     {||}           3     {||} 
 {||}             155     {||}           9     {||} 
 {||}             156     {||}           7     {||} 
 {||}             157     {||}           9     {||} 
 {||}             158     {||}           7     {||} 
 {||}             159     {||}          10     {||} 
 {||}             160     {||}          10     {||} 
 {||}             161     {||}           1     {||} 
 {||}             162     {||}           2     {||} 
 {||}             163     {||}           4     {||} 
 {||}             164     {||}           9     {||} 
 {||}             165     {||}           3     {||} 
 {||}             166     {||}           5     {||} 
 {||}             167     {||}           5     {||} 
 {||}             168     {||}           3     {||} 
 {||}             169     {||}           9     {||} 
 {||}             170     {||}           6     {||} 
 {||}             171     {||}           2     {||} 
 {||}             172     {||}           8     {||} 
 {||}             173     {||}           4     {||} 
 {||}             174     {||}           8     {||} 
 {||}             175     {||}           9     {||} 
 {||}             176     {||}          10     {||} 
 {||}             177     {||}           8     {||} 
 {||}             178     {||}           6     {||} 
 {||}             179     {||}           2     {||} 
 {||}             180     {||}           6     {||} 
 {||}             181     {||}           9     {||} 
 {||}             182     {||}           9     {||} 
 {||}             183     {||}          10     {||} 
 {||}             184     {||}           9     {||} 
 {||}             185     {||}           6     {||} 
 {||}             186     {||}           6     {||} 
 {||}             187     {||}           5     {||} 
 {||}             188     {||}           8     {||} 
 {||}             189     {||}           4     {||} 
 {||}             190     {||}           6     {||} 
 {||}             191     {||}          10     {||} 
 {||}             192     {||}           5     {||} 
 {||}             193     {||}           2     {||} 
 {||}             194     {||}           9     {||} 
 {||}             195     {||}           2     {||} 
 {||}             196     {||}           7     {||} 
 {||}             197     {||}          10     {||} 
 {||}             198     {||}           8     {||} 
 {||}             199     {||}           4     {||} 
 {||}             200     {||}           1     {||} 
 {||}             201     {||}           7     {||} 
 {||}             202     {||}           8     {||} 
 {||}             203     {||}           8     {||} 
 {||}             204     {||}           9     {||} 
 {||}             205     {||}           4     {||} 
 {||}             206     {||}          10     {||} 
 {||}             207     {||}           3     {||} 
 {||}             208     {||}           6     {||} 
 {||}             209     {||}           1     {||} 
 {||}             210     {||}           3     {||} 
 {||}             211     {||}           1     {||} 
 {||}             212     {||}           2     {||} 
 {||}             213     {||}           1     {||} 
 {||}             214     {||}           7     {||} 
 {||}             215     {||}           8     {||} 
 {||}             216     {||}           8     {||} 
 {||}             217     {||}           8     {||} 
 {||}             218     {||}           5     {||} 
 {||}             219     {||}           2     {||} 
 {||}             220     {||}          10     {||} 
 {||}             221     {||}           7     {||} 
 {||}             222     {||}           8     {||} 
 {||}             223     {||}           3     {||} 
 {||}             224     {||}           2     {||} 
 {||}             225     {||}           9     {||} 
 {||}             226     {||}           5     {||} 
 {||}             227     {||}           1     {||} 
 {||}             228     {||}           1     {||} 
 {||}             229     {||}           5     {||} 
 {||}             230     {||}           7     {||} 
 {||}             231     {||}          10     {||} 
 {||}             232     {||}           1     {||} 
 {||}             233     {||}          10     {||} 
 {||}             234     {||}           4     {||} 
 {||}             235     {||}           3     {||} 
 {||}             236     {||}           6     {||} 
 {||}             237     {||}           9     {||} 
 {||}             238     {||}           5     {||} 
 {||}             239     {||}           1     {||} 
 {||}             240     {||}           3     {||} 
 {||}             241     {||}           4     {||} 
 {||}             242     {||}           3     {||} 
 {||}             243     {||}           4     {||} 
 {||}             244     {||}           2     {||} 
 {||}             245     {||}           5     {||} 
 {||}             246     {||}           3     {||} 
 {||}             247     {||}           8     {||} 
 {||}             248     {||}           1     {||} 
 {||}             249     {||}           5     {||} 
 {||}             250     {||}           5     {||} 
 {||}             251     {||}           3     {||} 
 {||}             252     {||}           9     {||} 
 {||}             253     {||}          10     {||} 
 {||}             254     {||}          10     {||} 
 {||}             255     {||}          10     {||} 
 {||}             256     {||}           5     {||} 
 {||}             257     {||}           2     {||} 
 {||}             258     {||}           7     {||} 
 {||}             259     {||}           1     {||} 
 {||}             260     {||}           2     {||} 
 {||}             261     {||}           1     {||} 
 {||}             262     {||}           2     {||} 
 {||}             263     {||}           8     {||} 
 {||}             264     {||}           9     {||} 
 {||}             265     {||}           7     {||} 
 {||}             266     {||}           7     {||} 
 {||}             267     {||}           6     {||} 
 {||}             268     {||}           7     {||} 
 {||}             269     {||}           7     {||} 
 {||}             270     {||}           7     {||} 
 {||}             271     {||}          10     {||} 
 {||}             272     {||}           2     {||} 
 {||}             273     {||}           2     {||} 
 {||}             274     {||}           4     {||} 
 {||}             275     {||}           1     {||} 
 {||}             276     {||}           5     {||} 
 {||}             277     {||}          10     {||} 
 {||}             278     {||}          10     {||} 
 {||}             279     {||}           1     {||} 
 {||}             280     {||}           4     {||} 
 {||}             281     {||}           1     {||} 
 {||}             282     {||}           1     {||} 
 {||}             283     {||}           8     {||} 
 {||}             284     {||}           4     {||} 
 {||}             285     {||}           1     {||} 
 {||}             286     {||}           5     {||} 
 {||}             287     {||}           5     {||} 
 {||}             288     {||}           9     {||} 
 {||}             289     {||}           6     {||} 
 {||}             290     {||}           4     {||} 
 {||}             291     {||}           7     {||} 
 {||}             292     {||}           4     {||} 
 {||}             293     {||}          10     {||} 
 {||}             294     {||}           3     {||} 
 {||}             295     {||}           8     {||} 
 {||}             296     {||}           3     {||} 
 {||}             297     {||}           3     {||} 
 {||}             298     {||}           1     {||} 
 {||}             299     {||}           8     {||} 
 {||}             300     {||}           9     {||} 
 {||}             301     {||}           6     {||} 
 {||}             302     {||}           7     {||} 
 {||}             303     {||}           6     {||} 
 {||}             304     {||}           7     {||} 
 {||}             305     {||}           3     {||} 
 {||}             306     {||}           5     {||} 
 {||}             307     {||}           8     {||} 
 {||}             308     {||}          10     {||} 
 {||}             309     {||}           1     {||} 
 {||}             310     {||}           9     {||} 
 {||}             311     {||}           2     {||} 
 {||}             312     {||}           9     {||} 
 {||}             313     {||}           6     {||} 
 {||}             314     {||}           6     {||} 
 {||}             315     {||}           8     {||} 
 {||}             316     {||}           9     {||} 
 {||}             317     {||}          10     {||} 
 {||}             318     {||}           2     {||} 
 {||}             319     {||}           6     {||} 
 {||}             320     {||}           8     {||} 
 {||}             321     {||}           1     {||} 
 {||}             322     {||}           3     {||} 
 {||}             323     {||}           2     {||} 
 {||}             324     {||}           9     {||} 
 {||}             325     {||}          10     {||} 
 {||}             326     {||}           3     {||} 
 {||}             327     {||}           4     {||} 
 {||}             328     {||}           1     {||} 
 {||}             329     {||}           9     {||} 
 {||}             330     {||}           9     {||} 
 {||}             331     {||}           2     {||} 
 {||}             332     {||}          10     {||} 
 {||}             333     {||}           4     {||} 
 {||}             334     {||}           1     {||} 
 {||}             335     {||}           4     {||} 
 {||}             336     {||}           3     {||} 
 {||}             337     {||}           3     {||} 
 {||}             338     {||}           8     {||} 
 {||}             339     {||}           4     {||} 
 {||}             340     {||}           3     {||} 
 {||}             341     {||}           9     {||} 
 {||}             342     {||}           3     {||} 
 {||}             343     {||}           3     {||} 
 {||}             344     {||}           6     {||} 
 {||}             345     {||}           7     {||} 
 {||}             346     {||}           4     {||} 
 {||}             347     {||}          10     {||} 
 {||}             348     {||}           7     {||} 
 {||}             349     {||}           1     {||} 
 {||}             350     {||}           4     {||} 
 {||}             351     {||}           1     {||} 
 {||}             352     {||}           9     {||} 
 {||}             353     {||}           9     {||} 
 {||}             354     {||}           1     {||} 
 {||}             355     {||}           7     {||} 
 {||}             356     {||}           7     {||} 
 {||}             357     {||}           4     {||} 
 {||}             358     {||}           8     {||} 
 {||}             359     {||}          10     {||} 
 {||}             360     {||}           5     {||} 
 {||}             361     {||}           1     {||} 
 {||}             362     {||}           6     {||} 
 {||}             363     {||}          10     {||} 
 {||}             364     {||}           8     {||} 
 {||}             365     {||}          10     {||} 
 {||}             366     {||}           8     {||} 
 {||}             367     {||}           3     {||} 
 {||}             368     {||}           4     {||} 
 {||}             369     {||}           1     {||} 
 {||}             370     {||}           5     {||} 
 {||}             371     {||}           4     {||} 
 {||}             372     {||}           2     {||} 
 {||}             373     {||}          10     {||} 
 {||}             374     {||}           3     {||} 
 {||}             375     {||}           1     {||} 
 {||}             376     {||}           3     {||} 
 {||}             377     {||}           4     {||} 
 {||}             378     {||}           6     {||} 
 {||}             379     {||}           6     {||} 
 {||}             380     {||}           9     {||} 
 {||}             381     {||}           3     {||} 
 {||}             382     {||}           3     {||} 
 {||}             383     {||}           6     {||} 
 {||}             384     {||}           5     {||} 
 {||}             385     {||}           3     {||} 
 {||}             386     {||}           2     {||} 
 {||}             387     {||}           2     {||} 
 {||}             388     {||}          10     {||} 
 {||}             389     {||}           3     {||} 
 {||}             390     {||}           8     {||} 
 {||}             391     {||}           9     {||} 
 {||}             392     {||}           3     {||} 
 {||}             393     {||}           1     {||} 
 {||}             394     {||}           9     {||} 
 {||}             395     {||}           4     {||} 
 {||}             396     {||}           1     {||} 
 {||}             397     {||}           3     {||} 
 {||}             398     {||}           7     {||} 
 {||}             399     {||}           3     {||} 
 {||}             400     {||}          10     {||} 
 {||}             401     {||}           3     {||} 
 {||}             402     {||}           5     {||} 
 {||}             403     {||}           6     {||} 
 {||}             404     {||}           7     {||} 
 {||}             405     {||}           6     {||} 
 {||}             406     {||}          10     {||} 
 {||}             407     {||}           3     {||} 
 {||}             408     {||}          10     {||} 
 {||}             409     {||}           4     {||} 
 {||}             410     {||}           2     {||} 
 {||}             411     {||}           1     {||} 
 {||}             412     {||}           6     {||} 
 {||}             413     {||}           9     {||} 
 {||}             414     {||}           1     {||} 
 {||}             415     {||}           3     {||} 
 {||}             416     {||}           4     {||} 
 {||}             417     {||}           3     {||} 
 {||}             418     {||}           1     {||} 
 {||}             419     {||}           5     {||} 
 {||}             420     {||}           6     {||} 
 {||}             421     {||}           7     {||} 
 {||}             422     {||}           9     {||} 
 {||}             423     {||}           5     {||} 
 {||}             424     {||}           6     {||} 
 {||}             425     {||}           2     {||} 
 {||}             426     {||}           3     {||} 
 {||}             427     {||}           5     {||} 
 {||}             428     {||}           7     {||} 
 {||}             429     {||}           3     {||} 
 {||}             430     {||}           1     {||} 
 {||}             431     {||}           3     {||} 
 {||}             432     {||}           7     {||} 
 {||}             433     {||}           7     {||} 
 {||}             434     {||}           9     {||} 
 {||}             435     {||}           5     {||} 
 {||}             436     {||}           6     {||} 
 {||}             437     {||}           4     {||} 
 {||}             438     {||}           1     {||} 
 {||}             439     {||}           5     {||} 
 {||}             440     {||}          10     {||} 
 {||}             441     {||}           9     {||} 
 {||}             442     {||}           3     {||} 
 {||}             443     {||}           4     {||} 
 {||}             444     {||}           3     {||} 
 {||}             445     {||}           1     {||} 
 {||}             446     {||}           3     {||} 
 {||}             447     {||}           6     {||} 
 {||}             448     {||}           8     {||} 
 {||}             449     {||}           7     {||} 
 {||}             450     {||}           2     {||} 
 {||}             451     {||}           7     {||} 
 {||}             452     {||}           7     {||} 
 {||}             453     {||}           2     {||} 
 {||}             454     {||}           8     {||} 
 {||}             455     {||}           8     {||} 
 {||}             456     {||}           2     {||} 
 {||}             457     {||}           1     {||} 
 {||}             458     {||}           4     {||} 
 {||}             459     {||}           8     {||} 
 {||}             460     {||}           7     {||} 
 {||}             461     {||}           8     {||} 
 {||}             462     {||}           3     {||} 
 {||}             463     {||}           4     {||} 
 {||}             464     {||}           7     {||} 
 {||}             465     {||}           1     {||} 
 {||}             466     {||}           3     {||} 
 {||}             467     {||}           8     {||} 
 {||}             468     {||}           2     {||} 
 {||}             469     {||}           7     {||} 
 {||}             470     {||}           6     {||} 
 {||}             471     {||}           6     {||} 
 {||}             472     {||}           7     {||} 
 {||}             473     {||}           5     {||} 
 {||}             474     {||}           9     {||} 
 {||}             475     {||}           3     {||} 
 {||}             476     {||}           6     {||} 
 {||}             477     {||}           1     {||} 
 {||}             478     {||}           5     {||} 
 {||}             479     {||}           7     {||} 
 {||}             480     {||}           4     {||} 
 {||}             481     {||}           4     {||} 
 {||}             482     {||}           6     {||} 
 {||}             483     {||}           5     {||} 
 {||}             484     {||}           3     {||} 
 {||}             485     {||}           8     {||} 
 {||}             486     {||}          10     {||} 
 {||}             487     {||}           1     {||} 
 {||}             488     {||}           2     {||} 
 {||}             489     {||}           1     {||} 
 {||}             490     {||}           3     {||} 
 {||}             491     {||}           6     {||} 
 {||}             492     {||}           1     {||} 
 {||}             493     {||}          10     {||} 
 {||}             494     {||}           6     {||} 
 {||}             495     {||}           2     {||} 
 {||}             496     {||}           5     {||} 
 {||}             497     {||}           4     {||} 
 {||}             498     {||}           3     {||} 
 {||}             499     {||}           7     {||} 
 {||}             500     {||}           7     {||} 
 {||}             501     {||}           4     {||} 
 {||}             502     {||}           2     {||} 
 {||}             503     {||}           8     {||} 
 {||}             504     {||}           5     {||} 
 {||}             505     {||}           5     {||} 
 {||}             506     {||}           5     {||} 
 {||}             507     {||}           5     {||} 
 {||}             508     {||}           2     {||} 
 {||}             509     {||}           2     {||} 
 {||}             510     {||}           8     {||} 
 {||}             511     {||}          10     {||} 
 {||}             512     {||}           1     {||} 
 {||}             513     {||}           9     {||} 
 {||}             514     {||}           7     {||} 
 {||}             515     {||}           5     {||} 
 {||}             516     {||}           3     {||} 
 {||}             517     {||}           9     {||} 
 {||}             518     {||}           8     {||} 
 {||}             519     {||}           7     {||} 
 {||}             520     {||}           1     {||} 
 {||}             521     {||}           8     {||} 
 {||}             522     {||}           4     {||} 
 {||}             523     {||}           3     {||} 
 {||}             524     {||}          10     {||} 
 {||}             525     {||}          10     {||} 
 {||}             526     {||}           3     {||} 
 {||}             527     {||}           6     {||} 
 {||}             528     {||}           1     {||} 
 {||}             529     {||}           5     {||} 
 {||}             530     {||}           8     {||} 
 {||}             531     {||}           4     {||} 
 {||}             532     {||}           8     {||} 
 {||}             533     {||}           4     {||} 
 {||}             534     {||}           3     {||} 
 {||}             535     {||}          10     {||} 
 {||}             536     {||}           8     {||} 
 {||}             537     {||}           5     {||} 
 {||}             538     {||}           2     {||} 
 {||}             539     {||}           1     {||} 
 {||}             540     {||}           1     {||} 
 {||}             541     {||}           6     {||} 
 {||}             542     {||}           3     {||} 
 {||}             543     {||}           4     {||} 
 {||}             544     {||}           3     {||} 
 {||}             545     {||}           6     {||} 
 {||}             546     {||}           4     {||} 
 {||}             547     {||}           8     {||} 
 {||}             548     {||}           5     {||} 
 {||}             549     {||}           4     {||} 
 {||}             550     {||}           5     {||} 
 {||}             551     {||}           6     {||} 
 {||}             552     {||}           3     {||} 
 {||}             553     {||}           6     {||} 
 {||}             554     {||}           7     {||} 
 {||}             555     {||}           9     {||} 
 {||}             556     {||}           5     {||} 
 {||}             557     {||}           6     {||} 
 {||}             558     {||}           2     {||} 
 {||}             559     {||}           5     {||} 
 {||}             560     {||}          10     {||} 
 {||}             561     {||}           2     {||} 
 {||}             562     {||}           9     {||} 
 {||}             563     {||}          10     {||} 
 {||}             564     {||}           7     {||} 
 {||}             565     {||}           8     {||} 
 {||}             566     {||}           6     {||} 
 {||}             567     {||}           5     {||} 
 {||}             568     {||}          10     {||} 
 {||}             569     {||}           3     {||} 
 {||}             570     {||}           2     {||} 
 {||}             571     {||}           5     {||} 
 {||}             572     {||}           1     {||} 
 {||}             573     {||}           7     {||} 
 {||}             574     {||}           5     {||} 
 {||}             575     {||}           6     {||} 
 {||}             576     {||}           5     {||} 
 {||}             577     {||}           1     {||} 
 {||}             578     {||}           6     {||} 
 {||}             579     {||}           9     {||} 
 {||}             580     {||}           4     {||} 
 {||}             581     {||}           4     {||} 
 {||}             582     {||}           7     {||} 
 {||}             583     {||}           7     {||} 
 {||}             584     {||}           6     {||} 
 {||}             585     {||}           1     {||} 
 {||}             586     {||}           7     {||} 
 {||}             587     {||}           2     {||} 
 {||}             588     {||}           6     {||} 
 {||}             589     {||}          10     {||} 
 {||}             590     {||}           6     {||} 
 {||}             591     {||}           5     {||} 
 {||}             592     {||}          10     {||} 
 {||}             593     {||}           7     {||} 
 {||}             594     {||}           6     {||} 
 {||}             595     {||}           4     {||} 
 {||}             596     {||}           9     {||} 
 {||}             597     {||}           7     {||} 
 {||}             598     {||}           7     {||} 
 {||}             599     {||}           5     {||} 
 {||}             600     {||}           5     {||} 
 {||}             601     {||}          10     {||} 
 {||}             602     {||}           4     {||} 
 {||}             603     {||}           5     {||} 
 {||}             604     {||}           8     {||} 
 {||}             605     {||}          10     {||} 
 {||}             606     {||}           9     {||} 
 {||}             607     {||}           1     {||} 
 {||}             608     {||}           9     {||} 
 {||}             609     {||}           6     {||} 
 {||}             610     {||}           3     {||} 
 {||}             611     {||}           3     {||} 
 {||}             612     {||}           3     {||} 
 {||}             613     {||}           5     {||} 
 {||}             614     {||}           2     {||} 
 {||}             615     {||}           3     {||} 
 {||}             616     {||}           5     {||} 
 {||}             617     {||}           9     {||} 
 {||}             618     {||}           9     {||} 
 {||}             619     {||}           6     {||} 
 {||}             620     {||}           5     {||} 
 {||}             621     {||}           3     {||} 
 {||}             622     {||}          10     {||} 
 {||}             623     {||}           6     {||} 
 {||}             624     {||}           2     {||} 
 {||}             625     {||}           5     {||} 
 {||}             626     {||}           8     {||} 
 {||}             627     {||}           7     {||} 
 {||}             628     {||}           6     {||} 
 {||}             629     {||}           4     {||} 
 {||}             630     {||}           9     {||} 
 {||}             631     {||}           9     {||} 
 {||}             632     {||}           7     {||} 
 {||}             633     {||}           5     {||} 
 {||}             634     {||}          10     {||} 
 {||}             635     {||}          10     {||} 
 {||}             636     {||}           4     {||} 
 {||}             637     {||}           7     {||} 
 {||}             638     {||}           6     {||} 
 {||}             639     {||}           9     {||} 
 {||}             640     {||}           5     {||} 
 {||}             641     {||}           6     {||} 
 {||}             642     {||}           4     {||} 
 {||}             643     {||}           8     {||} 
 {||}             644     {||}           8     {||} 
 {||}             645     {||}           5     {||} 
 {||}             646     {||}           1     {||} 
 {||}             647     {||}           8     {||} 
 {||}             648     {||}           4     {||} 
 {||}             649     {||}           8     {||} 
 {||}             650     {||}           4     {||} 
 {||}             651     {||}           5     {||} 
 {||}             652     {||}          10     {||} 
 {||}             653     {||}           7     {||} 
 {||}             654     {||}           3     {||} 
 {||}             655     {||}           5     {||} 
 {||}             656     {||}           2     {||} 
 {||}             657     {||}           2     {||} 
 {||}             658     {||}           9     {||} 
 {||}             659     {||}           6     {||} 
 {||}             660     {||}           6     {||} 
 {||}             661     {||}           8     {||} 
 {||}             662     {||}           1     {||} 
 {||}             663     {||}           7     {||} 
 {||}             664     {||}           1     {||} 
 {||}             665     {||}           5     {||} 
 {||}             666     {||}           3     {||} 
 {||}             667     {||}           3     {||} 
 {||}             668     {||}           3     {||} 
 {||}             669     {||}           2     {||} 
 {||}             670     {||}           5     {||} 
 {||}             671     {||}           4     {||} 
 {||}             672     {||}           7     {||} 
 {||}             673     {||}           9     {||} 
 {||}             674     {||}           1     {||} 
 {||}             675     {||}           8     {||} 
 {||}             676     {||}           5     {||} 
 {||}             677     {||}           8     {||} 
 {||}             678     {||}           6     {||} 
 {||}             679     {||}           4     {||} 
 {||}             680     {||}           8     {||} 
 {||}             681     {||}           2     {||} 
 {||}             682     {||}           9     {||} 
 {||}             683     {||}           5     {||} 
 {||}             684     {||}           3     {||} 
 {||}             685     {||}           5     {||} 
 {||}             686     {||}           2     {||} 
 {||}             687     {||}           1     {||} 
 {||}             688     {||}           4     {||} 
 {||}             689     {||}           4     {||} 
 {||}             690     {||}           9     {||} 
 {||}             691     {||}           7     {||} 
 {||}             692     {||}           8     {||} 
 {||}             693     {||}           3     {||} 
 {||}             694     {||}           1     {||} 
 {||}             695     {||}          10     {||} 
 {||}             696     {||}           7     {||} 
 {||}             697     {||}           4     {||} 
 {||}             698     {||}           7     {||} 
 {||}             699     {||}           9     {||} 
 {||}             700     {||}           3     {||} 
 {||}             701     {||}          10     {||} 
 {||}             702     {||}           6     {||} 
 {||}             703     {||}           3     {||} 
 {||}             704     {||}           9     {||} 
 {||}             705     {||}           9     {||} 
 {||}             706     {||}           5     {||} 
 {||}             707     {||}           6     {||} 
 {||}             708     {||}           3     {||} 
 {||}             709     {||}           7     {||} 
 {||}             710     {||}           2     {||} 
 {||}             711     {||}           2     {||} 
 {||}             712     {||}           7     {||} 
 {||}             713     {||}           7     {||} 
 {||}             714     {||}           2     {||} 
 {||}             715     {||}           8     {||} 
 {||}             716     {||}           4     {||} 
 {||}             717     {||}           7     {||} 
 {||}             718     {||}           4     {||} 
 {||}             719     {||}           7     {||} 
 {||}             720     {||}           1     {||} 
 {||}             721     {||}           2     {||} 
 {||}             722     {||}          10     {||} 
 {||}             723     {||}           4     {||} 
 {||}             724     {||}           6     {||} 
 {||}             725     {||}           3     {||} 
 {||}             726     {||}           2     {||} 
 {||}             727     {||}           5     {||} 
 {||}             728     {||}           5     {||} 
 {||}             729     {||}          10     {||} 
 {||}             730     {||}           3     {||} 
 {||}             731     {||}           2     {||} 
 {||}             732     {||}           2     {||} 
 {||}             733     {||}           7     {||} 
 {||}             734     {||}           6     {||} 
 {||}             735     {||}           5     {||} 
 {||}             736     {||}           9     {||} 
 {||}             737     {||}           9     {||} 
 {||}             738     {||}          10     {||} 
 {||}             739     {||}           1     {||} 
 {||}             740     {||}          10     {||} 
 {||}             741     {||}           9     {||} 
 {||}             742     {||}           8     {||} 
 {||}             743     {||}           5     {||} 
 {||}             744     {||}          10     {||} 
 {||}             745     {||}           3     {||} 
 {||}             746     {||}           7     {||} 
 {||}             747     {||}           4     {||} 
 {||}             748     {||}           1     {||} 
 {||}             749     {||}           7     {||} 
 {||}             750     {||}           4     {||} 
 {||}             751     {||}           4     {||} 
 {||}             752     {||}           5     {||} 
 {||}             753     {||}          10     {||} 
 {||}             754     {||}           1     {||} 
 {||}             755     {||}           8     {||} 
 {||}             756     {||}           5     {||} 
 {||}             757     {||}           6     {||} 
 {||}             758     {||}          10     {||} 
 {||}             759     {||}          10     {||} 
 {||}             760     {||}           9     {||} 
 {||}             761     {||}           3     {||} 
 {||}             762     {||}           2     {||} 
 {||}             763     {||}          10     {||} 
 {||}             764     {||}           1     {||} 
 {||}             765     {||}           6     {||} 
 {||}             766     {||}          10     {||} 
 {||}             767     {||}           9     {||} 
 {||}             768     {||}           4     {||} 
 {||}             769     {||}           9     {||} 
 {||}             770     {||}           9     {||} 
